,Prediction,Actual
525,2,2
739,1,1
658,1,1
608,2,2
68,1,1
99,2,2
178,1,2
425,1,1
312,2,1
615,1,1
199,2,1
185,1,1
490,1,1
701,1,1
109,2,2
580,2,1
677,1,1
682,2,1
143,1,1
272,2,2
744,2,2
141,2,2
67,2,2
279,1,1
20,2,1
741,2,2
688,2,2
750,1,1
496,2,2
225,1,1
578,1,1
212,1,1
77,1,2
429,1,1
18,1,1
479,2,2
365,2,2
204,1,1
330,2,2
281,2,2
15,1,1
62,1,1
601,2,2
37,2,1
275,1,1
737,2,2
334,2,2
107,2,2
30,2,2
515,1,1
634,1,1
22,2,2
465,1,1
89,2,2
470,1,1
192,2,1
172,2,2
519,2,2
258,2,2
514,2,2
523,2,2
407,1,1
344,2,2
209,1,1
309,2,2
335,2,2
232,1,1
710,2,2
612,2,2
227,1,1
718,1,1
297,2,2
733,2,2
638,2,2
494,2,2
566,2,2
74,1,1
328,2,2
593,1,1
748,2,2
198,2,1
694,1,1
651,2,2
129,2,2
142,2,1
391,1,1
314,2,2
371,2,2
1,2,2
157,2,2
327,1,1
586,2,2
598,2,2
754,1,1
158,1,1
747,1,1
137,1,1
547,2,2
197,1,1
468,2,2
722,2,1
673,1,1
423,2,2
386,2,2
472,2,2
193,1,1
250,1,1
510,2,2
552,2,2
572,2,2
183,1,1
160,1,1
80,2,1
346,1,1
426,2,2
108,1,1
181,1,1
463,2,2
743,2,2
257,2,2
128,1,2
692,1,1
504,2,2
444,1,1
614,2,2
597,1,1
451,1,1
719,2,2
672,1,2
397,1,2
763,1,1
595,2,2
176,1,1
471,1,1
370,1,1
693,1,1
670,1,2
627,2,2
300,1,1
681,2,1
431,2,1
345,2,2
663,2,1
583,2,2
447,2,2
146,1,1
624,1,1
84,1,1
55,2,2
599,1,1
533,1,1
620,1,1
203,2,2
280,1,1
452,1,1
333,1,1
632,1,1
182,2,2
541,2,1
640,2,2
512,1,1
728,2,2
576,1,1
16,1,1
416,1,1
432,1,1
486,2,2
251,1,1
288,1,1
513,2,2
430,2,2
549,1,1
553,2,2
304,1,1
338,2,2
499,1,1
273,2,2
213,1,2
231,1,2
399,2,2
32,2,2
556,2,2
480,2,2
156,1,1
532,2,2
630,1,1
511,2,2
419,2,2
544,1,1
116,1,1
411,2,2
467,2,2
